Year,Value,Series
2010,13.3,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2011,13.7,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2012,13.5,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2013,13.1,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2014,12.3,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2015,12.8,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2016,13.1,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2017,12.5,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2018,13.4,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2019,12.0,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2020,12.0,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2021,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2010,0.5,"population having neither a bath, nor a shower in their dwelling"
2011,0.1,"population having neither a bath, nor a shower in their dwelling"
2012,0.1,"population having neither a bath, nor a shower in their dwelling"
2013,0.0,"population having neither a bath, nor a shower in their dwelling"
2014,0.0,"population having neither a bath, nor a shower in their dwelling"
2015,0.0,"population having neither a bath, nor a shower in their dwelling"
2016,0.0,"population having neither a bath, nor a shower in their dwelling"
2017,0.0,"population having neither a bath, nor a shower in their dwelling"
2018,0.0,"population having neither a bath, nor a shower in their dwelling"
2019,0.0,"population having neither a bath, nor a shower in their dwelling"
2020,0.0,"population having neither a bath, nor a shower in their dwelling"
2021,,"population having neither a bath, nor a shower in their dwelling"
2010,1.6,population not having indoor flushing toilet for the sole use of their household
2011,0.9,population not having indoor flushing toilet for the sole use of their household
2012,0.9,population not having indoor flushing toilet for the sole use of their household
2013,0.1,population not having indoor flushing toilet for the sole use of their household
2014,0.0,population not having indoor flushing toilet for the sole use of their household
2015,0.1,population not having indoor flushing toilet for the sole use of their household
2016,0.1,population not having indoor flushing toilet for the sole use of their household
2017,0.1,population not having indoor flushing toilet for the sole use of their household
2018,0.0,population not having indoor flushing toilet for the sole use of their household
2019,0.2,population not having indoor flushing toilet for the sole use of their household
2020,0.0,population not having indoor flushing toilet for the sole use of their household
2021,,population not having indoor flushing toilet for the sole use of their household
2010,4.2,population considering their dwelling as too dark
2011,4.1,population considering their dwelling as too dark
2012,3.9,population considering their dwelling as too dark
2013,4.4,population considering their dwelling as too dark
2014,4.4,population considering their dwelling as too dark
2015,4.0,population considering their dwelling as too dark
2016,3.9,population considering their dwelling as too dark
2017,4.0,population considering their dwelling as too dark
2018,4.4,population considering their dwelling as too dark
2019,4.0,population considering their dwelling as too dark
2020,,population considering their dwelling as too dark
2021,,population considering their dwelling as too dark
