Year,age group,sex,Value
2010,,,15.6
2011,,,15.8
2012,,,16.1
2013,,,16.1
2014,,,16.7
2015,,,16.7
2016,,,16.5
2017,,,16.1
2018,,,16.0
2019,,,14.8
2020,,,16.1
2021,,,15.8
2010,17 years and younger,,17.5
2011,17 years and younger,,15.6
2012,17 years and younger,,15.2
2013,17 years and younger,,14.7
2014,17 years and younger,,15.1
2015,17 years and younger,,14.6
2016,17 years and younger,,15.4
2017,17 years and younger,,15.2
2018,17 years and younger,,14.5
2019,17 years and younger,,12.1
2020,17 years and younger,,15.4
2021,17 years and younger,,16.2
2010,18 to under 65 years,,15.6
2011,18 to under 65 years,,16.4
2012,18 to under 65 years,,16.6
2013,18 to under 65 years,,16.9
2014,18 to under 65 years,,17.2
2015,18 to under 65 years,,17.3
2016,18 to under 65 years,,16.4
2017,18 to under 65 years,,16.0
2018,18 to under 65 years,,15.7
2019,18 to under 65 years,,14.5
2020,18 to under 65 years,,14.9
2021,18 to under 65 years,,14.5
2010,65 years and older,,14.1
2011,65 years and older,,14.2
2012,65 years and older,,15.0
2013,65 years and older,,14.9
2014,65 years and older,,16.3
2015,65 years and older,,16.5
2016,65 years and older,,17.6
2017,65 years and older,,17.0
2018,65 years and older,,18.2
2019,65 years and older,,18.0
2020,65 years and older,,20.0
2021,65 years and older,,19.4
2010,,female,16.4
2011,,female,16.8
2012,,female,17.2
2013,,female,17.2
2014,,female,17.4
2015,,female,17.4
2016,,female,17.8
2017,,female,17.1
2018,,female,16.8
2019,,female,15.7
2020,,female,16.8
2021,,female,16.5
2010,,male,14.9
2011,,male,14.9
2012,,male,14.9
2013,,male,15.0
2014,,male,15.9
2015,,male,15.9
2016,,male,15.2
2017,,male,15.0
2018,,male,15.2
2019,,male,13.9
2020,,male,15.3
2021,,male,15.1
