Year,Value,Units
2010,0.99,"per 100,000 inhabitants"
2011,0.92,"per 100,000 inhabitants"
2012,0.82,"per 100,000 inhabitants"
2013,0.85,"per 100,000 inhabitants"
2014,0.88,"per 100,000 inhabitants"
2015,0.83,"per 100,000 inhabitants"
2016,1.17,"per 100,000 inhabitants"
2017,0.98,"per 100,000 inhabitants"
2018,0.95,"per 100,000 inhabitants"
2019,0.75,"per 100,000 inhabitants"
2020,0.94,"per 100,000 inhabitants"
2021,0.84,"per 100,000 inhabitants"
2010,793.0,number
2011,738.0,number
2012,659.0,number
2013,682.0,number
2014,716.0,number
2015,682.0,number
2016,963.0,number
2017,813.0,number
2018,788.0,number
2019,623.0,number
2020,782.0,number
2021,695.0,number
