Year,Value,Units,Series
2010,1.0,"yes=1, no=0",contracting parties to the international treaty on plant genetic resources for food and agriculture
2011,1.0,"yes=1, no=0",contracting parties to the international treaty on plant genetic resources for food and agriculture
2012,1.0,"yes=1, no=0",contracting parties to the international treaty on plant genetic resources for food and agriculture
2013,1.0,"yes=1, no=0",contracting parties to the international treaty on plant genetic resources for food and agriculture
2014,1.0,"yes=1, no=0",contracting parties to the international treaty on plant genetic resources for food and agriculture
2015,1.0,"yes=1, no=0",contracting parties to the international treaty on plant genetic resources for food and agriculture
2016,1.0,"yes=1, no=0",contracting parties to the international treaty on plant genetic resources for food and agriculture
2017,1.0,"yes=1, no=0",contracting parties to the international treaty on plant genetic resources for food and agriculture
2018,1.0,"yes=1, no=0",contracting parties to the international treaty on plant genetic resources for food and agriculture
2019,1.0,"yes=1, no=0",contracting parties to the international treaty on plant genetic resources for food and agriculture
2020,1.0,"yes=1, no=0",contracting parties to the international treaty on plant genetic resources for food and agriculture
2021,1.0,"yes=1, no=0",contracting parties to the international treaty on plant genetic resources for food and agriculture
2010,,"yes=1, no=0",parties to the nagoya protocol
2011,,"yes=1, no=0",parties to the nagoya protocol
2012,,"yes=1, no=0",parties to the nagoya protocol
2013,,"yes=1, no=0",parties to the nagoya protocol
2014,,"yes=1, no=0",parties to the nagoya protocol
2015,,"yes=1, no=0",parties to the nagoya protocol
2016,1.0,"yes=1, no=0",parties to the nagoya protocol
2017,1.0,"yes=1, no=0",parties to the nagoya protocol
2018,1.0,"yes=1, no=0",parties to the nagoya protocol
2019,1.0,"yes=1, no=0",parties to the nagoya protocol
2020,1.0,"yes=1, no=0",parties to the nagoya protocol
2021,1.0,"yes=1, no=0",parties to the nagoya protocol
2010,,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture"
2011,,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture"
2012,,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture"
2013,,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture"
2014,,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture"
2015,,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture"
2016,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture"
2017,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture"
2018,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture"
2019,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture"
2020,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture"
2021,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture"
2010,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house"
2011,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house"
2012,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house"
2013,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house"
2014,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house"
2015,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house"
2016,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house"
2017,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house"
2018,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house"
2019,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house"
2020,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house"
2021,1.0,"yes=1, no=0","countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house"
2010,,number,number of standard material transfer agreements (smtas)
2011,,number,number of standard material transfer agreements (smtas)
2012,3898.0,number,number of standard material transfer agreements (smtas)
2013,5012.0,number,number of standard material transfer agreements (smtas)
2014,6068.0,number,number of standard material transfer agreements (smtas)
2015,7292.0,number,number of standard material transfer agreements (smtas)
2016,8347.0,number,number of standard material transfer agreements (smtas)
2017,8728.0,number,number of standard material transfer agreements (smtas)
2018,9120.0,number,number of standard material transfer agreements (smtas)
2019,9711.0,number,number of standard material transfer agreements (smtas)
2020,10239.0,number,number of standard material transfer agreements (smtas)
2021,10797.0,number,number of standard material transfer agreements (smtas)
