Year,Value,Units,Series
2010,,percentage,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2011,,percentage,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2012,,percentage,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2013,,percentage,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2014,,percentage,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2015,4.65,percentage,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2016,,percentage,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2017,3.66,percentage,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2018,,percentage,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2019,4.67,percentage,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2020,,percentage,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2021,3.86,percentage,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2010,354.0,number,private persons (donors) suspected in the context of corruption offences
2011,295.0,number,private persons (donors) suspected in the context of corruption offences
2012,163.0,number,private persons (donors) suspected in the context of corruption offences
2013,222.0,number,private persons (donors) suspected in the context of corruption offences
2014,121.0,number,private persons (donors) suspected in the context of corruption offences
2015,148.0,number,private persons (donors) suspected in the context of corruption offences
2016,,number,private persons (donors) suspected in the context of corruption offences
2017,,number,private persons (donors) suspected in the context of corruption offences
2018,,number,private persons (donors) suspected in the context of corruption offences
2019,,number,private persons (donors) suspected in the context of corruption offences
2020,,number,private persons (donors) suspected in the context of corruption offences
2021,,number,private persons (donors) suspected in the context of corruption offences
