Year,Value,Units,Series
2010,100.0,percentage,municipal solid waste regularly collected and treated
2011,100.0,percentage,municipal solid waste regularly collected and treated
2012,100.0,percentage,municipal solid waste regularly collected and treated
2013,100.0,percentage,municipal solid waste regularly collected and treated
2014,100.0,percentage,municipal solid waste regularly collected and treated
2015,100.0,percentage,municipal solid waste regularly collected and treated
2016,100.0,percentage,municipal solid waste regularly collected and treated
2017,100.0,percentage,municipal solid waste regularly collected and treated
2018,100.0,percentage,municipal solid waste regularly collected and treated
2019,100.0,percentage,municipal solid waste regularly collected and treated
2020,100.0,percentage,municipal solid waste regularly collected and treated
2021,100.0,percentage,municipal solid waste regularly collected and treated
2010,49237.0,"1,000 tonnes",municipal solid waste in total
2011,50237.0,"1,000 tonnes",municipal solid waste in total
2012,49759.0,"1,000 tonnes",municipal solid waste in total
2013,49570.0,"1,000 tonnes",municipal solid waste in total
2014,51102.0,"1,000 tonnes",municipal solid waste in total
2015,51625.0,"1,000 tonnes",municipal solid waste in total
2016,52133.0,"1,000 tonnes",municipal solid waste in total
2017,51790.0,"1,000 tonnes",municipal solid waste in total
2018,50260.0,"1,000 tonnes",municipal solid waste in total
2019,50643.0,"1,000 tonnes",municipal solid waste in total
2020,50993.0,"1,000 tonnes",municipal solid waste in total
2021,,"1,000 tonnes",municipal solid waste in total
